price,title,location,land_size_m2,building_size_m2,link
Rp 480 Juta,Rumah Murah 50/101 Ikan2 Lowokwaru Dekat Brawijaya,"Malang Kota, Malang",101,50,https://www.rumah123.com/properti/malang-malang-kota/rumah-murah-50101-ikan2-lowokwaru-dekat-brawijaya-hos41392634/
Rp 701 Juta,Rumah Murah 60/111 Perum Panji Suroso Blimbing Selangkah ke Hotel Grand Mercure,"Malang Kota, Malang",111,60,https://www.rumah123.com/properti/malang-malang-kota/rumah-murah-60111-perum-panji-suroso-blimbing-selangkah-ke-hotel-grand-mercure-hos41392711/
Rp 445 Juta,Termurah!! Rumah Baru Malang Kota 400Jutaan,"Malang Kota, Malang",60,36,https://www.rumah123.com/properti/malang-malang-kota/termurah-rumah-baru-malang-kota-400jutaan-hos41400644/
"Rp 1,75 Miliar",Rumah Full Furnish Permata Jingga Sukarno Hatta Malang Gmk03978,"Lowokwaru, Malang",82,92,https://www.rumah123.com/properti/malang-lowokwaru/rumah-full-furnish-permata-jingga-sukarno-hatta-malang-gmk03978-hos41400454/
Rp 13 Miliar,Langka Rumah Vintage Tengah Kota Dekat Ijen Boulevard Siap Huni,"Malang Kota, Malang",515,258,https://www.rumah123.com/properti/malang-malang-kota/langka-rumah-vintage-tengah-kota-dekat-ijen-boulevard-siap-huni-hos40505518/
Rp 23 Miliar,Murah Langka Rumah Vintage Luas Di Area Elite Di Jantung Kota Mlg,"Malang Kota, Malang",1153,590,https://www.rumah123.com/properti/malang-malang-kota/murah-langka-rumah-vintage-luas-di-area-elite-di-jantung-kota-mlg-hos40505542/
"Rp 2,5 Miliar",Murah Rumah Luas Tengah Kota Malang Area Sarangan Siap Pakai,"Malang Kota, Malang",276,136,https://www.rumah123.com/properti/malang-malang-kota/murah-rumah-luas-tengah-kota-malang-area-sarangan-siap-pakai-hos40336700/
Rp 27 Miliar,Murah Rumah Luas Di Jantung Kota Malang Strategis Untuk Usaha,"Malang Kota, Malang",998,1000,https://www.rumah123.com/properti/malang-malang-kota/murah-rumah-luas-di-jantung-kota-malang-strategis-untuk-usaha-hos40275246/
"Rp 5,95 Miliar",Mewah Full Furnish 2 Lantai Siap Huni Di Araya Golf Malang,"Araya, Malang",360,540,https://www.rumah123.com/properti/malang-araya/mewah-full-furnish-2-lantai-siap-huni-di-araya-golf-malang-hos40565158/
Rp 15 Miliar,Murah Mewah Ada Kolam Renang di Perum Elite Istana Dieng Malang,"Malang Kota, Malang",446,500,https://www.rumah123.com/properti/malang-malang-kota/murah-mewah-ada-kolam-renang-di-perum-elite-istana-dieng-malang-hos41057909/
"Rp 2,5 Miliar",Murah Rumah Luas Di Graha Kencana Row Jalan Lebar Siap Huni,"Blimbing, Malang",232,190,https://www.rumah123.com/properti/malang-blimbing/murah-rumah-luas-di-graha-kencana-row-jalan-lebar-siap-huni-hos40433998/
"Rp 21,7 Miliar",Murah Mewah di Ijen Nirwana Area Elite Malang Ada Kolam Renang,"Malang Kota, Malang",1558,1500,https://www.rumah123.com/properti/malang-malang-kota/murah-mewah-di-ijen-nirwana-area-elite-malang-ada-kolam-renang-hos41057739/
Rp 8 Miliar,Mewah Siap Huni Dekat Ijen Boulevard Strategis Pol,"Malang Kota, Malang",449,350,https://www.rumah123.com/properti/malang-malang-kota/mewah-siap-huni-dekat-ijen-boulevard-strategis-pol-hos41388021/
"Rp 2,5 Miliar",Murah Hitung Tanah Saja di Perum Elite Villa Puncak Tidar Malang,"Villa Puncak Tidar, Malang",304,200,https://www.rumah123.com/properti/malang-villa-puncak-tidar/murah-hitung-tanah-saja-di-perum-elite-villa-puncak-tidar-malang-hos40762037/
Rp 385 Juta,"Dijual Rumah Minimalis Siap Huni, Dekat dengan Exit Toll Pakis dan Bandara Abdurahman Saleh","Pakis, Malang",70,45,https://www.rumah123.com/properti/malang-pakis/dijual-rumah-minimalis-siap-huni-dekat-dengan-exit-toll-pakis-dan-bandara-abdurahman-saleh-hos41338706/
"Rp 8,5 Miliar",Dijual Rumah Asri Nyaman Di Araya Malang Dekat Golf Dan Club House,"Araya, Malang",342,500,https://www.rumah123.com/properti/malang-araya/dijual-rumah-asri-nyaman-di-araya-malang-dekat-golf-dan-club-house-hos40267500/
"Rp 1,35 Miliar",Lokasi Strategis Cocok untuk Kos Mahasiswa di Malang,"Tunjungsekar, Malang",180,133,https://www.rumah123.com/properti/malang-tunjungsekar/lokasi-strategis-cocok-untuk-kos-mahasiswa-di-malang-hos40543359/
Rp 10 Miliar,The Araya Malang: Rumah Mewah Cantik Nyaman dengan Private Pool,"Araya, Malang",480,372,https://www.rumah123.com/properti/malang-araya/rumah-mewah-cantik-nyaman-dengan-private-pool-di-araya-malang-hos40264293/
"Rp 3,5 Miliar",Dekat Gereja Katolik : Dijual Rumah Kos dan Homestay Cantik di Langsep Malang,"Sukun, Malang",254,350,https://www.rumah123.com/properti/malang-sukun/dijual-rumah-cantik-cocok-untuk-kost-dan-homestay-dekat-gereja-katolik-di-langsep-malang-hos40264394/
"Rp 8,5 Miliar",Raya Singosari Nol Jalan Propinsi,"Singosari, Malang",881,441,https://www.rumah123.com/properti/malang-singosari/raya-singosari-nol-jalan-propinsi-hos39363446/
"Rp 1,4 Miliar",Rumah Malang Kos 10 Kamar Sekitaran Kopian Dermo Selangkah Umm,"Dau, Malang",75,120,https://www.rumah123.com/properti/malang-dau/rumah-malang-kos-10-kamar-sekitaran-kopian-dermo-selangkah-umm-hos41071718/
Rp 285 Juta,Rumah Malang Sukun Lokasi Bagus dan Strategis,"Sukun, Malang",50,36,https://www.rumah123.com/properti/malang-sukun/rumah-malang-sukun-lokasi-bagus-dan-strategis-hos41072511/
Rp 285 Juta,Rumah Malang Sukun Siap Huni Lokasi Cantik,"Sukun, Malang",50,36,https://www.rumah123.com/properti/malang-sukun/rumah-malang-sukun-siap-huni-lokasi-cantik-hos41072524/
Rp 285 Juta,Rumah Dekat Kampus Unikama Malang di Sukun,"Sukun, Malang",50,36,https://www.rumah123.com/properti/malang-sukun/rumah-dekat-kampus-unikama-malang-di-sukun-hos41072540/
Rp 285 Juta,Rumah Sukun Dekat Unikama dan Unmer Malang Siap Huni,"Sukun, Malang",50,36,https://www.rumah123.com/properti/malang-sukun/rumah-sukun-dekat-unikama-dan-unmer-malang-siap-huni-hos41072550/
"Rp 2,6 Miliar","Rumah Furnished di Puncak Dieng, Dieng Malang","Dieng, Malang",250,200,https://www.rumah123.com/properti/malang-dieng/rumah-furnished-di-puncak-dieng-dieng-malang-hos40170877/
"Rp 3,4 Miliar","Rumah di Jalan Sungai - Sungai, Daerah Ciliwung, Blimbing Malang","Blimbing, Malang",169,300,https://www.rumah123.com/properti/malang-blimbing/rumah-di-jalan-sungai-sungai-daerah-ciliwung-blimbing-malang-hos40729184/
Rp 408 Juta,Rumah Baru Malang Kota 400Jutssb,"Sawojajar, Malang",60,30,https://www.rumah123.com/properti/malang-sawojajar/rumah-baru-malang-kota-400jutssb-hos41400002/
"Rp 1,4 Miliar",Jual Rumah 2 Lantai Palm Regency Karangploso Malang Jatim,"Karangploso, Malang",171,175,https://www.rumah123.com/properti/malang-karangploso/jual-rumah-2-lantai-palm-regency-karangploso-malang-jatim-hos41353796/
"Rp 3,2 Miliar",Dijual Rumah di Pbi Araya Blimbing Malang Banyak Kamar Tidur,"Araya, Malang",200,240,https://www.rumah123.com/properti/malang-araya/dijual-rumah-di-pbi-araya-blimbing-malang-banyak-kamar-tidur-hos41253300/
Rp 420 Juta,"Rumah Strategis dan Murah di Kawasan Dau, Malang Dekat dengan Universitas Brawijaya","Dau, Malang",84,70,https://www.rumah123.com/properti/malang-dau/rumah-strategis-dan-murah-di-kawasan-dau-malang-dekat-dengan-universitas-brawijaya-hos41336301/
Rp 765 Juta,Rumah 2 Lantai Bagus dan Murah di Kawasan Kedungkandang Malang,"Kedungkandang, Malang",255,200,https://www.rumah123.com/properti/malang-kedungkandang/rumah-2-lantai-bagus-dan-murah-di-kawasan-kedungkandang-malang-hos40602095/
Rp 621 Juta,Rumah 2 Lantai Bagus dan Murah di Kota Malang,"Malang Kota, Malang",202,204,https://www.rumah123.com/properti/malang-malang-kota/rumah-2-lantai-bagus-dan-murah-di-kota-malang-hos40601405/
Rp 837 Juta,"K38 Rumah Baru Gress, Harga Miring di Sulfat Malang","Sulfat, Malang",114,55,https://www.rumah123.com/properti/malang-sulfat/k38-rumah-baru-gress-harga-miring-di-sulfat-malang-hos41396853/
"Rp 2,3 Miliar",K39 Rumah Classic di Private Cluster Golf Araya,"Araya, Malang",210,350,https://www.rumah123.com/properti/malang-araya/k39-rumah-classic-di-private-cluster-golf-araya-hos41396876/
"Rp 2,6 Miliar",Dijual Cepat Rumah 2 Lantai Dekat 3 Kampus Area Dinoyo,"Lowokwaru, Malang",235,350,https://www.rumah123.com/properti/malang-lowokwaru/dijual-cepat-rumah-2-lantai-dekat-3-kampus-area-dinoyo-hos41305800/
Rp 385 Juta,Dijual Via Lelang Rumah di Citra Garden Kota Malang,"Malang Kota, Malang",60,30,https://www.rumah123.com/properti/malang-malang-kota/dijual-via-lelang-rumah-di-citra-garden-kota-malang-hos41332446/
Rp 990 Juta,Dijual Via Lelang Rumah di Perumahan Araya Malang,"Malang Kota, Malang",98,49,https://www.rumah123.com/properti/malang-malang-kota/dijual-via-lelang-rumah-di-perumahan-araya-malang-hos41356237/
Rp 357 Juta,Dijual Via Lelang Rumah di Citra Garden Kota Malang,"Malang Kota, Malang",72,42,https://www.rumah123.com/properti/malang-malang-kota/dijual-via-lelang-rumah-di-citra-garden-kota-malang-hos41397736/
"Rp 1,2 Miliar",Rumah Bagus Posisi Hook Tirtasani Karangploso Malang Gmk03947,"Karangploso, Malang",139,65,https://www.rumah123.com/properti/malang-karangploso/rumah-bagus-posisi-hook-tirtasani-karangploso-malang-gmk03947-hos41256008/
"Rp 1,2 Miliar",Rumah Bagus 4 Kamar Griya Shanta Sukarno Hatta Malang Gmk03950,"Lowokwaru, Malang",117,130,https://www.rumah123.com/properti/malang-lowokwaru/rumah-bagus-4-kamar-griya-shanta-sukarno-hatta-malang-gmk03950-hos41256392/
Rp 1 Miliar,Rumah Perum Permata Brantas Indah Tunggulwulung Malang Gmk03940,"Lowokwaru, Malang",164,115,https://www.rumah123.com/properti/malang-lowokwaru/rumah-perum-permata-brantas-indah-tunggulwulung-malang-gmk03940-hos41259345/
Rp 8 Miliar,Rumah Mewah 2 Lantai di Green Orchid Soekarno Hatta Malang Axjj,"Soekarno Hatta, Malang",399,339,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-mewah-2-lantai-di-green-orchid-soekarno-hatta-malang-axjj-hos18931366/
"Rp 4,25 Miliar",Rumah Kost Baru Full Furnish Merjosari Malang Kota Gmk03967,"Lowokwaru, Malang",150,500,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kost-baru-full-furnish-merjosari-malang-kota-gmk03967-hos41320106/
"Rp 2,5 Miliar",Rumah Bagus di Lowokwaru Dekat Sukarno Hatta Malang GMK03185,"Lowokwaru, Malang",220,110,https://www.rumah123.com/properti/malang-lowokwaru/rumah-bagus-di-lowokwaru-dekat-sukarno-hatta-malang-gmk03185-hos19137008/
